Back,Dashboard 5. Socioeconomic sustainability ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Top third,Middle third,,Bottom third,,,,,,,,,,,,,,,,,,,,,,,,,
,"Three-colour coding is used to visualize partial grouping of countries by indicator. For each indicator countries are divided into three groups of approximately equal size (terciles): the top third, the middle third and the bottom third. Aggregates are colour coded using the same tercile cutoffs. See Notes after the table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG 17.4,,,,,,,,SDG 9.5,,,,,,,,SDG 10.1,,SDG 5,,SDG 10.1,,,,,
,,Economic sustainability,,,,,,,,,,,,,,Social sustainability,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dependency ratio,,Education and health expenditure versus military expenditure,,,,,,,,,,,,,
,,Adjusted net savings,,Total debt service,,Gross capital formation,,Skilled labour force,,Concentration index (exports),,Research and development expenditure ,,Old age (65 and older),,Military expenditure,a,Ratio of education and health expenditure to military expenditure,b,Overall loss in HDI value due to inequality,c,Gender Inequality Index,c,Income share of the poorest 40 percent,d,,,,
HDI rank,Country,(% of GNI),,"(% of exports of goods, services and primary income)",,(% of GDP),,(% of labour force),,(value),,(% of GDP),,(per 100 people ages 15–64),,(% of GDP),,,,Average annual change (%),,,,,,,,,
,,2015–2018,e,2015–2018,e,2015–2019,e,2010–2019,e,2018,,2014–2018,e,2030,f,2015–2018,e,2010–2017,g,2010/2019,h,2005/2019,h,2005/2018,,,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,18.2,,..,,29.0,,84.3,,0.357,,2.1,,31.9,i,1.6,,11.4,,-0.9,,-4.4,,0.3,,,,,
2,Ireland,16.1,,..,,43.8,,85.0,,0.269,,1.1,,27.8,,0.3,,33.5,,-2.4,,-5.0,,0.2,,,,,
2,Switzerland,16.9,,..,,22.3,,87.3,,0.246,j,3.4,,37.9,,0.7,,25.4,,-0.3,,-7.4,,-0.1,,,,,
4,"Hong Kong, China (SAR)",..,,..,,18.9,,77.0,,0.286,,0.9,,43.2,,..,,..,,..,,..,,..,,,,,
4,Iceland,11.0,,..,,20.1,,76.2,,0.460,,2.0,,31.8,,..,,..,,-1.4,,-5.3,,0.4,,,,,
6,Germany,14.4,,..,,21.6,,87.3,,0.093,,3.1,,44.0,,1.2,,13.4,,0.3,,-2.3,,-0.1,,,,,
7,Sweden,17.8,,..,,25.2,,87.1,,0.097,,3.3,,36.4,,1.0,,17.6,,-0.2,,-2.0,,-0.3,,,,,
8,Australia,4.4,,..,,23.3,,78.9,,0.291,,1.9,,31.0,k,1.9,,6.9,,0.3,,-2.5,,-0.2,,,,,
8,Netherlands,19.2,,..,,21.2,,78.6,,0.083,,2.2,,40.8,,1.2,,13.6,,-1.7,,-4.6,,0.1,,,,,
10,Denmark,19.4,,..,,22.7,,79.7,,0.100,,3.1,,37.1,,1.2,,15.5,,-0.7,,-3.7,,-0.6,,,,,
11,Finland,10.8,,..,,24.0,,90.5,,0.143,,2.8,,43.1,l,1.4,,11.4,,-3.6,,-4.4,,0.0,,,,,
11,Singapore,34.7,,..,,24.9,,84.0,,0.239,,1.9,,34.5,,3.1,,2.1,,..,,-6.0,,..,,,,,
13,United Kingdom,3.0,,..,,17.4,,84.4,,0.111,,1.7,,34.8,,1.8,,8.4,,-1.9,,-3.7,,-0.0,,,,,
14,Belgium,11.1,,..,,25.3,,85.6,,0.096,,2.8,,37.6,,0.9,,18.3,,-1.0,,-6.1,,0.2,,,,,
