Back,Dashboard 1. Quality of human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country groupings (terciles),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Top third,Middle third,,Bottom third,,,,,,,,,,,,,,,,,,,,,,,,,
,"Three-colour coding is used to visualize partial grouping of countries by indicator. For each indicator countries are divided into three groups of approximately equal size (terciles): the top third, the middle third and the bottom third. Aggregates are colour coded using the same tercile cutoffs. See Notes after the table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SDG 4.c,,SDG 4.a,,,,SDG 4.1,,,,,,,,SDG 7.1,,SDG 6.1,,SDG 6.2,
,,Quality of health,,,,,,Quality of education,,,,,,,,,,,,,,Quality of standard of living,,,,,,,
,,Lost health expectancy,,Physicians ,,Hospital beds,,"Pupil–teacher ratio, primary school",,Primary school teachers trained to teach ,,Schools with access to the Internet,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Primary schools,,Secondary schools ,,Programme for International Student Assessment (PISA) score,,,,,,Vulnerable employment,a,Rural population with access to electricity,,Population using safely managed drinking-water services,,Population using safely managed sanitation services,
HDI rank,Country,(%),,"(per 10,000 people)",,,,(pupils per teacher),,(%),,,,,,Reading,b,Mathematics,c,Science,c,(% of total employment),,(%),,,,,
,,2019,,2010–2018,d,2010–2019,d,2010–2019,d,2010–2019,d,2010–2019,d,2010–2019,d,2018,,2018,,2018,,2019,,2018,,2017,,2017,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,14.6,,29.2,,35,,9,,..,,100,,100,,499,,501,,490,,4.9,,100.0,,98,,76,
2,Ireland,14.2,,33.1,,30,,16,,..,,..,,..,,518,,500,,496,,10.6,,100.0,,97,,82,
2,Switzerland,14.2,,43.0,,46,,10,,..,,100,,100,,484,,515,,495,,8.9,,100.0,,95,,100,
4,"Hong Kong, China (SAR)",..,,..,,..,,13,,97,,99,,95,,524,,551,,517,,5.7,,100.0,,..,,..,
4,Iceland,14.0,,40.8,,28,,10,,..,,..,,..,,474,,495,,475,,8.1,,100.0,,100,,82,
6,Germany,14.1,,42.5,,80,,12,,..,,..,,..,,498,,500,,503,,5.6,,100.0,,100,,97,
7,Sweden,13.8,,39.8,,21,,12,,..,,..,,..,,506,,502,,499,,6.1,,100.0,,100,,93,
8,Australia,15.2,,36.8,,38,,..,,..,,100,,100,,503,,491,,503,,10.6,,100.0,,..,,76,
8,Netherlands,13.6,,36.1,,32,,12,,..,,100,,100,,485,,519,,503,,12.7,,100.0,,100,,97,
10,Denmark,13.8,,40.1,,26,,11,,..,,100,,100,,501,,509,,493,,4.9,,100.0,,97,,95,
11,Finland,14.1,,38.1,,36,,14,,..,,100,,100,,520,,507,,522,,9.6,,100.0,,100,,99,
